text,likes,views
Ваш админ живет в Торонто. Пиши с какого города ты?,46,2173
"Люди добрые, помогите! Моя жизнь сейчас зависит от кислородного аппарата.

Меня зовут Шарков Павел Николаевич, и я всегда стремился быть сильным и независимым человеком, готовым помогать другим. Но теперь я сам вынужден просить помощи, ведь другого выхода у меня нет.

Я столкнулся с тяжелой болезнью – ХОБЛ (хроническая обструктивная болезнь легких). Каждый день для меня стал борьбой за каждый вдох, за каждый шаг. Я нуждаюсь в вашей поддержке, чтобы оставаться в живых

Мои легкие уже не способны обеспечить организм кислородом, и я вынужден использовать кислородную терапию. Каждый день для меня становится все труднее и труднее, и сейчас моя жизнь находится под угрозой.

Мой портативный кислородный концентратор сломался, и я не могу себе позволить его починить или купить новый. Без этого устройства я уже несколько месяцев прикован к дивану.

Мои родные покинули меня, я остался на произвол судьбы. Пенсия по инвалидности всего 7300Р, но ее не хватает практически ни на что… Лекарства бесплатные выписывают, но часто их не бывает в аптеке, поэтому чаще я покупаю препараты за свои деньги.

Мне остро необходима финансовая помощь каждый месяц, чтобы оплачивать коммунальные платежи. К сожалению, сумма долга сейчас превышает 170 000 р. Моя жизнь зависит напрямую от электричества, ведь аппараты для дыхания работают от розетки. Если мне отключат свет, я могу просто задохнуться...

Мне стыдно просить, стыдно, что оказался совершенно беспомощным... Но без вашей помощи мне просто не выжить.

Я буду искренне благодарен за любую поддержку... Спасибо Вам!

Спасти Павлу жизнь — https://pomogi-cheloveku.ru/f2.html?utm_source=vk&utm_medium=posev&utm_campaign=test_creo&utm_content=green&utm_term=t7_c10",17,4779
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",14,5345
"Как подобрать себе подходящую профессию? Ответ в тесте!

Ответь на 30 вопросов и узнай, к чему у тебя талант. Набор курсов для быстрого старта — в подарок:

https://vk.cc/ctQ4iC

В Skypro разработали алгоритм поиска новой работы. Три шага — и ты четко понимаешь, как с выгодой сменить профессию.

Шаг 1. Проходишь тест и узнаешь, к чему у тебя склонности.

Шаг 2. Бесплатно получаешь два курса на выбор, чтобы прокачаться в нужной профессии.

Шаг 3. Проходишь консультацию от карьерного эксперта Skypro. Тоже бесплатно!

Все по-честному.

В результате у тебя сложится четкое понимание, как освоить современную профессию и стать спецом, за которым охотятся кадровики богатейших компаний.

Начать тест по ссылке:

https://vk.cc/ctQ4iC",3,3829
Northern lights - знаете как переводиться? Пиши в коммы👇,29,2605
"Мировая столица белого медведя

Черчилля, Манитоба очень популярный город в Канаде, поскольку это самый густонаселенный регион белых медведей в мире. А вы видели хоть раз белого медведя вживую?",58,3322
"Многие Канадцы пытаются уменьшить свою зависимость от автомобилей и уменьшить выбросы углекислого газа, которые они создают, но это довольно сложно, когда очень холодно. Вы наверно думаете что во время канадской зимы слишком холодно для езды на велосипеде? Но не тут то было....
Все больше канадцев переходят на зимнюю езду на велосипеде, а холод их абсолютно не пугает!",44,3541
"Пережив кому и 6 операций, Тёмочка продолжает бороться. Осталось собрать 136 тысяч на лечение ребёнка. Пожертвуйте хоть немного. С миру по нитке и мы поможем мальчику.

Маленький Артемий - настоящий герой.  В год малыш перенёс остановку сердца, гипоксию и 15-дневную кому...  «Тёмочка выкарабкался, но перенес за следующие 2 года 6 операций... И последствия...   Гипоксическое ишемическое поражение ЦНС, ДЦП, спастический тетрапарез, задержка развития, эпилепсия», — Галина, мама Артемия, тихо говорит заученные слова, гладя сына по голове.  Она верит, что её малыш всё преодолеет. Хотя теперь семье приходится очень нелегко: вскоре после случившегося, отец мальчика от стресса заболел так сильно, что начал терять память и сознание. Но у ребёнка осталась непоколебимая вера, что он, стоя на своих ножках, сможет наконец сказать: “Я люблю вас, мама и папа!” Только нужно немножко помочь...

Сейчас Темочке необходима дорогостоящая реабилитация, на которую родители, к сожалению, уже не могут накопить. Поэтому они обратились за помощью в благотворительный фонд Ресурс.

Благодаря вам Артемий и его близкие не сдадутся! Ваша помощь для них, как глоток свежего воздуха! Помогите закрыть сбор на лечение мальчика, осталось собрать 136000 рублей.

Можно помочь адресно, отправив любую сумму на сайте фонда. Все собранные средства пойдут на оплату реабилитации Тёмочки.

Благодарим вас за помощь, наши милосердные сердца!

Пожертвовать Артемию: https://resource-bf.ru/artemij-cygulskij.html?utm_source=vk&utm_medium=posev&utm_campaign=test_creo&utm_content=green&utm_term=t3_c2",6,5932
"Мне нужно 40 добровольцев на экспериментальное обучение!

Хочу доказать, что освоить английский язык сможет каждый.
Не важно какой у вас уровень, сколько лет, какая у вас память!

Я против глупых зубрежек, ненужной информации, из-за которых нет желания учиться.
Я против репетиторов, которые в течение нескольких лет просят большие деньги, а результата нет.

Я хочу чтобы люди были образованными, развивались и смогли свободно разговаривать на английском!

Поэтому я бесплатно расскажу про метод ""Остров"", который позволит выучить английский, уделяя всего 20-30 минут в день.

Если вы будете следовать этой методике, то уже через 4-5 месяцев:

- Сможете говорить без пауз и слов-паразитов
- Научитесь понимать 70% речи на слух
- Разберетесь во всей грамматике раз и навсегда

Если готовы бросить себе вызов, регистрируйтесь, это бесплатно >

https://eng.int-traf.ru/?utm_campaign=40_gif3_putish&utm_source=Instaii_vk",18,7054
"Королевский музей Онтарио (англ. Royal Ontario Museum, ROM) — канадский музей, расположенный в городе Торонто провинции Онтарио. Музей известен своими коллекциями динозавров, искусства Ближнего Востока, Африки и Восточной Азии, европейской и канадской истории.",46,4927
